,CPU Usage,Memory Usage (GB),GPU Usage (GB)
212,13.0,8.2335,0.418
213,18.6,8.2142,0.418
214,13.2,8.2268,0.418
215,15.5,8.2356,0.418
216,15.8,8.2359,0.418
217,13.2,8.2411,0.418
218,18.5,8.2325,0.418
219,13.3,8.2296,0.418
220,18.4,8.2425,0.418
221,13.1,8.2191,0.418
222,14.2,8.2484,0.418
223,17.2,8.244,0.418
224,13.0,8.2337,0.418
225,18.6,8.233,0.418
226,13.1,8.2377,0.418
227,18.3,8.2339,0.418
228,13.1,8.233,0.418
229,13.4,8.2158,0.418
230,18.1,8.2257,0.418
231,13.3,8.2322,0.418
232,18.2,8.2204,0.418
233,13.1,8.2336,0.418
234,17.2,8.2266,0.418
235,14.2,8.2154,0.418
236,13.0,8.2168,0.418
237,18.4,8.2082,0.418
238,13.2,8.2201,0.418
239,18.3,8.246,0.418
240,13.2,8.2346,0.418
241,16.1,8.2511,0.418
242,15.3,8.217,0.418
243,13.1,8.2235,0.418
244,18.3,8.2207,0.418
245,13.1,8.2095,0.418
246,18.4,8.2084,0.418
247,13.1,8.1976,0.418
248,14.9,8.2448,0.418
249,16.5,8.2082,0.418
250,13.2,8.2137,0.418
251,18.3,8.2213,0.418
252,13.1,8.2197,0.418
253,18.2,8.2253,0.418
254,13.2,8.227,0.418
255,14.0,8.2367,0.418
256,17.6,8.1317,0.418
257,13.1,8.1225,0.418
258,18.2,8.1407,0.418
259,13.1,8.1301,0.418
260,18.2,8.1139,0.418
261,13.5,8.118,0.418
262,13.2,8.1169,0.418
263,18.2,8.1198,0.418
264,13.1,8.1211,0.418
265,18.4,8.129,0.418
266,13.3,8.1218,0.418
267,17.3,8.1429,0.418
268,14.4,8.1304,0.418
269,13.3,8.2198,0.418
270,18.3,8.2073,0.418
271,13.2,8.2044,0.418
272,18.2,8.2324,0.418
273,13.2,8.2454,0.418
274,16.0,8.2563,0.418
275,15.5,8.257,0.418
276,13.0,8.2326,0.418
277,18.2,8.2218,0.418
278,13.1,8.2144,0.418
279,18.4,8.2137,0.418
280,13.1,8.2007,0.418
281,15.2,8.2479,0.418
282,16.5,8.2236,0.418
283,13.1,8.2027,0.418
284,18.7,8.216,0.418
285,13.3,8.1931,0.418
286,18.6,8.2322,0.418
287,13.1,8.221,0.418
288,13.3,8.2134,0.418
289,18.3,8.2273,0.418
290,13.1,8.2276,0.418
291,18.7,8.2081,0.418
292,13.3,8.2172,0.418
293,16.8,8.2215,0.418
294,14.9,8.1992,0.418
295,13.1,8.1988,0.418
296,18.6,8.2238,0.418
297,13.1,8.2257,0.418
298,18.4,8.2309,0.418
299,13.0,8.2303,0.418
300,15.4,8.2367,0.418
301,16.1,8.2209,0.418
302,13.2,8.2242,0.418
303,18.6,8.238,0.418
304,13.2,8.2252,0.418
305,18.1,8.2242,0.418
306,13.1,8.2373,0.418
307,14.1,8.2205,0.418
308,17.3,8.2168,0.418
309,13.1,8.2111,0.418
310,18.2,8.2141,0.418
311,13.0,8.2273,0.418
312,18.3,8.2305,0.418
313,13.1,8.2214,0.418
314,13.5,8.2218,0.418
315,18.0,8.2391,0.418
316,13.2,8.2311,0.418
317,18.3,8.2575,0.418
318,13.2,8.2501,0.418
319,17.1,8.2121,0.418
320,14.3,8.2063,0.418
321,13.1,8.2076,0.418
322,18.5,8.2327,0.418
323,13.0,8.2454,0.418
324,18.3,8.232,0.418
325,13.2,8.2248,0.418
326,15.8,8.2515,0.418
327,15.9,8.2197,0.418
328,13.1,8.2054,0.418
329,18.4,8.2338,0.418
330,13.1,8.2353,0.418
331,18.3,8.2322,0.418
332,13.0,8.235,0.418
333,14.9,8.2541,0.418
334,16.7,8.2244,0.418
335,13.1,8.2469,0.418
336,18.2,8.2248,0.418
337,13.2,8.2225,0.418
338,18.4,8.2198,0.418
339,13.3,8.2333,0.418
340,13.4,8.22,0.418
341,17.8,8.2249,0.418
342,13.0,8.2235,0.418
343,18.5,8.2113,0.418
344,13.1,8.2135,0.418
345,17.4,8.2379,0.418
346,14.2,8.2001,0.418
347,13.1,8.2145,0.418
348,18.2,8.2447,0.418
349,13.1,8.239,0.418
350,18.1,8.2347,0.418
351,13.2,8.2463,0.418
352,16.3,8.2772,0.418
353,15.0,8.2397,0.418
354,13.0,8.2371,0.418
355,18.0,8.221,0.418
356,13.1,8.2099,0.418
357,18.2,8.2413,0.418
358,13.2,8.233,0.418
359,15.5,8.2292,0.418
360,16.1,8.2326,0.418
361,13.1,8.2325,0.418
362,18.4,8.2415,0.418
363,13.3,8.2351,0.418
364,18.3,8.2363,0.418
365,13.1,8.2266,0.418
366,14.4,8.2477,0.418
367,17.4,8.2454,0.418
368,13.2,8.2181,0.418
369,18.2,8.2027,0.418
370,13.3,8.2043,0.418
371,18.0,8.2321,0.418
372,13.3,8.2284,0.418
373,13.2,8.2241,0.418
374,18.5,8.2079,0.418
375,13.3,8.2009,0.418
376,18.3,8.247,0.418
377,13.1,8.2531,0.418
378,16.7,8.2465,0.418
379,14.6,8.257,0.418
380,13.0,8.2317,0.418
381,18.4,8.2201,0.418
382,13.1,8.2199,0.418
383,18.3,8.2358,0.418
384,13.1,8.2276,0.418
385,15.9,8.2405,0.418
386,15.6,8.2172,0.418
387,13.3,8.2069,0.418
388,18.2,8.2203,0.418
389,13.1,8.2447,0.418
390,18.3,8.23,0.418
391,13.1,8.2243,0.418
392,14.9,8.1492,0.418
393,16.7,8.1167,0.418
394,13.2,8.123,0.418
395,18.1,8.1115,0.418
396,13.0,8.1254,0.418
397,18.0,8.134,0.418
398,13.2,8.1143,0.418
399,14.5,8.1249,0.418
400,16.8,8.1293,0.418
401,13.1,8.1191,0.418
402,18.1,8.1428,0.418
403,13.1,8.1365,0.418
404,18.3,8.114,0.418
405,13.4,8.2182,0.418
406,13.8,8.2377,0.418
407,17.8,8.215,0.418
408,13.2,8.2276,0.418
409,18.1,8.216,0.418
410,13.2,8.2192,0.418
411,17.6,8.2379,0.418
412,13.9,8.2142,0.418
413,13.1,8.2058,0.418
414,18.1,8.2356,0.418
415,13.1,8.2283,0.418
416,18.1,8.23,0.418
417,13.3,8.252,0.418
418,16.8,8.2504,0.418
419,14.5,8.2403,0.418
