,CPU Usage,Memory Usage (GB),GPU Usage (GB)
930,18.3,8.2504,0.418
931,13.2,8.242,0.418
932,17.1,8.2582,0.418
933,14.2,8.2292,0.418
934,13.2,8.2318,0.418
935,18.3,8.2232,0.418
936,13.1,8.2153,0.418
937,18.4,8.2269,0.418
938,13.2,8.2185,0.418
939,16.0,8.2467,0.418
940,15.5,8.2565,0.418
941,13.0,8.2447,0.418
942,18.2,8.2489,0.418
943,13.1,8.2467,0.418
944,18.0,8.2299,0.418
945,13.1,8.2416,0.418
946,15.3,8.2475,0.418
947,16.2,8.1376,0.418
948,13.2,8.1259,0.418
949,18.1,8.1445,0.418
950,13.3,8.1319,0.418
951,18.1,8.1471,0.418
952,13.2,8.1523,0.418
953,14.6,8.1558,0.418
954,16.7,8.1594,0.418
955,13.2,8.1491,0.418
956,18.2,8.1408,0.418
957,13.1,8.1336,0.418
958,18.4,8.1276,0.418
959,13.0,8.1246,0.418
960,13.9,8.2359,0.418
961,17.6,8.2396,0.418
962,13.1,8.2297,0.418
963,18.3,8.2364,0.418
964,13.2,8.2297,0.418
965,17.6,8.24,0.418
966,13.6,8.2455,0.418
967,13.1,8.2479,0.418
968,18.2,8.2389,0.418
969,13.1,8.2366,0.418
970,18.3,8.2454,0.418
971,13.1,8.235,0.418
972,16.7,8.2209,0.418
973,14.6,8.2207,0.418
974,13.1,8.214,0.418
975,18.2,8.2339,0.418
976,13.3,8.2324,0.418
977,18.1,8.234,0.418
978,13.1,8.2333,0.418
979,16.0,8.2608,0.418
980,15.4,8.2323,0.418
981,13.1,8.2444,0.418
982,18.3,8.2507,0.418
983,13.1,8.2476,0.418
984,18.4,8.2359,0.418
985,13.1,8.2375,0.418
986,15.0,8.244,0.418
987,16.3,8.239,0.418
988,13.2,8.228,0.418
989,18.2,8.2184,0.418
990,13.1,8.2086,0.418
991,18.3,8.239,0.418
992,13.0,8.2418,0.418
993,14.0,8.2321,0.418
994,17.3,8.2255,0.418
995,13.1,8.2154,0.418
996,18.3,8.2631,0.418
997,13.1,8.2645,0.418
998,18.2,8.2274,0.418
999,13.3,8.2202,0.418
1000,13.2,8.2315,0.418
1001,18.1,8.22,0.418
1002,13.1,8.2007,0.418
1003,18.1,8.2325,0.418
1004,13.1,8.2281,0.418
1005,17.1,8.2373,0.418
1006,14.2,8.2289,0.418
1007,13.1,8.2192,0.418
1008,18.2,8.2344,0.418
1009,13.1,8.2256,0.418
1010,18.2,8.2328,0.418
1011,13.2,8.221,0.418
1012,16.4,8.2355,0.418
1013,15.1,8.2378,0.418
1014,13.1,8.2112,0.418
1015,18.2,8.2454,0.418
1016,13.1,8.2238,0.418
1017,18.2,8.23,0.418
1018,13.3,8.2233,0.418
1019,15.2,8.2142,0.418
1020,16.2,8.2294,0.418
1021,13.1,8.2308,0.418
1022,18.1,8.2208,0.418
1023,13.2,8.2335,0.418
1024,18.4,8.2419,0.418
1025,13.1,8.2238,0.418
1026,14.2,8.2364,0.418
1027,17.0,8.2323,0.418
1028,13.0,8.2204,0.418
1029,18.1,8.229,0.418
1030,13.1,8.2203,0.418
1031,18.3,8.2487,0.418
1032,13.1,8.2259,0.418
1033,13.3,8.2251,0.418
1034,18.1,8.2391,0.418
1035,13.1,8.2227,0.418
1036,18.3,8.2134,0.418
1037,13.1,8.2127,0.418
1038,17.3,8.2522,0.418
1039,14.1,8.2296,0.418
1040,13.1,8.2193,0.418
1041,18.2,8.2463,0.418
1042,13.1,8.247,0.418
1043,18.5,8.2342,0.418
1044,13.1,8.2375,0.418
1045,16.1,8.2337,0.418
1046,15.2,8.2026,0.418
1047,13.2,8.2165,0.418
1048,18.2,8.2198,0.418
1049,13.2,8.218,0.418
1050,18.3,8.2331,0.418
1051,13.2,8.2245,0.418
1052,15.0,8.2623,0.418
1053,16.1,8.236,0.418
1054,13.1,8.2301,0.418
1055,18.3,8.2503,0.418
1056,13.2,8.2239,0.418
1057,18.3,8.2404,0.418
1058,13.1,8.2285,0.418
1059,14.2,8.2418,0.418
1060,17.4,8.23,0.418
1061,13.1,8.23,0.418
1062,18.4,8.2473,0.418
1063,13.1,8.26,0.418
1064,17.8,8.256,0.418
1065,13.4,8.2462,0.418
1066,13.1,8.2328,0.418
1067,18.4,8.2211,0.418
1068,13.1,8.2343,0.418
1069,18.1,8.2515,0.418
1070,13.0,8.2328,0.418
1071,16.7,8.2422,0.418
1072,14.8,8.2362,0.418
1073,13.1,8.2396,0.418
1074,17.9,8.2505,0.418
1075,13.0,8.244,0.418
1076,18.1,8.2436,0.418
1077,13.0,8.2354,0.418
1078,16.0,8.248,0.418
1079,15.4,8.2048,0.418
1080,13.2,8.2057,0.418
1081,18.1,8.2385,0.418
1082,13.1,8.2328,0.418
1083,18.1,8.2239,0.418
1084,13.1,8.2364,0.418
1085,15.1,8.2508,0.418
1086,16.1,8.2339,0.418
1087,13.0,8.2274,0.418
1088,18.4,8.1366,0.418
1089,13.1,8.1366,0.418
1090,18.0,8.1609,0.418
1091,13.2,8.15,0.418
1092,14.4,8.1347,0.418
1093,16.8,8.1392,0.418
1094,13.1,8.1387,0.418
1095,18.1,8.15,0.418
1096,13.2,8.149,0.418
1097,18.3,8.1497,0.418
1098,13.2,8.1496,0.418
1099,13.9,8.1664,0.418
1100,17.7,8.1379,0.418
1101,13.2,8.2468,0.418
1102,18.2,8.252,0.418
1103,13.2,8.2422,0.418
1104,17.8,8.2629,0.418
1105,13.5,8.2537,0.418
1106,13.1,8.2546,0.418
1107,18.2,8.2529,0.418
1108,13.2,8.2516,0.418
1109,18.4,8.2675,0.418
1110,13.0,8.2467,0.418
1111,16.5,8.2676,0.418
1112,14.5,8.2519,0.418
1113,13.1,8.2422,0.418
1114,18.3,8.2484,0.418
1115,13.3,8.259,0.418
1116,18.5,8.2679,0.418
1117,13.0,8.2584,0.418
1118,15.6,8.2859,0.418
1119,15.8,8.2539,0.418
1120,13.1,8.2437,0.418
1121,18.4,8.2405,0.418
1122,13.2,8.2412,0.418
1123,18.2,8.2634,0.418
1124,13.1,8.2574,0.418
1125,14.4,8.2653,0.418
1126,16.8,8.2574,0.418
1127,13.1,8.237,0.418
1128,18.2,8.2606,0.418
1129,13.1,8.2625,0.418
1130,18.1,8.2602,0.418
1131,13.1,8.2662,0.418
1132,13.8,8.2592,0.418
1133,17.6,8.2617,0.418
1134,13.1,8.2653,0.418
1135,18.1,8.2568,0.418
1136,13.0,8.2692,0.418
1137,17.9,8.2542,0.418
1138,13.2,8.2549,0.418
1139,13.3,8.2693,0.418
1140,18.3,8.273,0.418
1141,13.0,8.2714,0.418
1142,18.2,8.2893,0.418
1143,13.0,8.2787,0.418
1144,16.8,8.2786,0.418
1145,14.7,8.2596,0.418
1146,13.1,8.2603,0.418
1147,18.2,8.2481,0.418
1148,13.0,8.2601,0.418
1149,18.2,8.2698,0.418
1150,13.1,8.2589,0.418
1151,15.9,8.2808,0.418
1152,15.5,8.2557,0.418
1153,13.0,8.247,0.418
1154,18.2,8.2701,0.418
1155,13.1,8.2703,0.418
1156,18.3,8.2468,0.418
1157,13.2,8.2396,0.418
1158,14.9,8.2565,0.418
1159,16.6,8.2551,0.418
1160,13.1,8.2432,0.418
1161,18.4,8.2649,0.418
1162,13.1,8.2646,0.418
1163,18.8,8.2676,0.418
1164,13.3,8.2664,0.418
1165,13.4,8.2697,0.418
1166,18.2,8.2683,0.418
1167,13.1,8.2454,0.418
1168,18.4,8.2832,0.418
1169,13.2,8.2754,0.418
1170,17.0,8.2883,0.418
1171,14.8,8.2446,0.418
1172,13.1,8.2479,0.418
1173,18.4,8.2415,0.418
1174,13.1,8.2537,0.418
1175,18.4,8.2715,0.418
1176,13.2,8.2505,0.418
1177,15.6,8.2779,0.418
1178,15.7,8.276,0.418
1179,13.1,8.2788,0.418
1180,18.3,8.277,0.418
1181,13.2,8.2693,0.418
1182,18.3,8.2507,0.418
1183,13.0,8.2498,0.418
1184,14.3,8.2723,0.418
1185,17.2,8.2718,0.418
1186,13.1,8.2643,0.418
1187,18.5,8.2543,0.418
1188,13.0,8.2614,0.418
1189,18.1,8.2538,0.418
1190,13.3,8.2453,0.418
1191,13.1,8.2448,0.418
1192,18.4,8.282,0.418
1193,13.2,8.2682,0.418
1194,18.1,8.2826,0.418
1195,13.0,8.27,0.418
1196,16.8,8.285,0.418
1197,14.6,8.2705,0.418
1198,13.1,8.2611,0.418
1199,18.4,8.2661,0.418
1200,13.0,8.2527,0.418
1201,18.3,8.2677,0.418
1202,13.1,8.2584,0.418
1203,15.7,8.2743,0.418
1204,15.7,8.2732,0.418
1205,13.3,8.2609,0.418
1206,18.3,8.2605,0.418
1207,13.1,8.2419,0.418
1208,18.2,8.264,0.418
1209,13.0,8.2632,0.418
1210,14.5,8.2786,0.418
1211,16.8,8.2361,0.418
1212,13.1,8.2363,0.418
1213,18.3,8.2494,0.418
1214,13.0,8.2405,0.418
1215,18.4,8.2888,0.418
1216,13.1,8.2904,0.418
1217,13.8,8.2669,0.418
1218,17.8,8.2511,0.418
1219,13.1,8.2647,0.418
1220,18.3,8.2458,0.418
1221,13.0,8.2468,0.418
1222,17.4,8.2706,0.418
1223,14.3,8.2558,0.418
1224,13.0,8.2556,0.418
1225,18.3,8.2712,0.418
1226,13.1,8.2678,0.418
1227,18.1,8.2705,0.418
1228,13.2,8.2579,0.418
1229,16.6,8.1314,0.418
1230,15.1,8.1105,0.418
1231,13.1,8.1227,0.418
1232,18.1,8.1377,0.418
1233,13.2,8.1461,0.418
1234,18.4,8.1243,0.418
1235,13.2,8.1194,0.418
1236,15.6,8.1368,0.418
1237,15.8,8.1276,0.418
1238,13.2,8.1304,0.418
1239,18.2,8.115,0.418
1240,13.1,8.1148,0.418
1241,18.6,8.138,0.418
1242,13.3,8.1437,0.418
1243,14.8,8.2575,0.418
1244,16.8,8.2708,0.418
1245,13.0,8.2597,0.418
1246,18.3,8.2571,0.418
1247,13.2,8.2374,0.418
1248,18.2,8.2745,0.418
1249,13.1,8.2726,0.418
1250,13.6,8.2782,0.418
1251,17.8,8.2564,0.418
1252,13.0,8.2461,0.418
1253,18.1,8.2695,0.418
1254,13.2,8.273,0.418
1255,17.5,8.2679,0.418
1256,13.5,8.2451,0.418
1257,13.1,8.2352,0.418
1258,18.2,8.2544,0.418
1259,13.2,8.2543,0.418
1260,18.3,8.2512,0.418
1261,13.0,8.2497,0.418
1262,16.5,8.2814,0.418
1263,14.8,8.2512,0.418
1264,13.1,8.2523,0.418
1265,18.8,8.2525,0.418
1266,13.2,8.242,0.418
1267,18.3,8.2466,0.418
1268,13.0,8.247,0.418
1269,15.5,8.2635,0.418
1270,15.9,8.249,0.418
1271,13.2,8.2578,0.418
1272,18.2,8.2732,0.418
1273,13.0,8.2622,0.418
1274,18.2,8.2547,0.418
1275,13.2,8.2534,0.418
1276,14.5,8.26,0.418
1277,17.2,8.2572,0.418
1278,13.1,8.247,0.418
1279,18.3,8.2714,0.418
1280,13.1,8.2594,0.418
1281,18.1,8.2758,0.418
1282,13.0,8.2671,0.418
1283,13.5,8.2568,0.418
1284,18.4,8.246,0.418
1285,13.1,8.2447,0.418
1286,18.2,8.2743,0.418
1287,13.1,8.2643,0.418
1288,17.0,8.2724,0.418
1289,14.4,8.2638,0.418
1290,13.2,8.2549,0.418
1291,18.1,8.2596,0.418
1292,13.2,8.2595,0.418
1293,18.2,8.269,0.418
1294,13.1,8.2564,0.418
1295,16.4,8.2793,0.418
1296,15.1,8.2528,0.418
1297,13.1,8.2474,0.418
1298,18.1,8.2514,0.418
1299,13.1,8.264,0.418
1300,18.3,8.2592,0.418
1301,13.2,8.2738,0.418
1302,15.3,8.2841,0.418
1303,15.9,8.2657,0.418
1304,13.2,8.2656,0.418
1305,18.4,8.2429,0.418
1306,13.1,8.2428,0.418
1307,18.5,8.2709,0.418
1308,13.1,8.2469,0.418
1309,14.1,8.2591,0.418
1310,17.3,8.2649,0.418
1311,13.0,8.2527,0.418
1312,18.2,8.2792,0.418
1313,13.3,8.2613,0.418
1314,18.0,8.2488,0.418
1315,13.4,8.2514,0.418
1316,13.1,8.2521,0.418
1317,18.4,8.2638,0.418
1318,13.0,8.2568,0.418
1319,18.3,8.2559,0.418
1320,13.1,8.2684,0.418
1321,16.6,8.2635,0.418
1322,14.8,8.2643,0.418
1323,13.1,8.2578,0.418
1324,18.3,8.2497,0.418
1325,13.2,8.2598,0.418
1326,18.4,8.2692,0.418
1327,13.2,8.2587,0.418
1328,15.5,8.258,0.418
1329,16.0,8.2508,0.418
1330,13.1,8.2512,0.418
1331,18.4,8.2486,0.418
1332,13.1,8.2639,0.418
1333,18.5,8.2623,0.418
1334,13.1,8.2747,0.418
1335,14.3,8.2716,0.418
1336,17.0,8.2378,0.418
1337,13.4,8.2371,0.418
1338,18.4,8.2466,0.418
1339,13.1,8.2448,0.418
1340,18.2,8.283,0.418
1341,13.3,8.262,0.418
1342,13.1,8.2495,0.418
1343,18.7,8.2844,0.418
1344,13.1,8.2834,0.418
1345,18.6,8.2667,0.418
1346,13.2,8.2559,0.418
1347,16.4,8.2742,0.418
1348,14.9,8.2878,0.418
1349,13.2,8.2524,0.418
1350,18.4,8.2613,0.418
1351,13.1,8.2634,0.418
1352,18.3,8.2647,0.418
1353,13.1,8.2569,0.418
1354,15.2,8.2715,0.418
1355,16.3,8.2606,0.418
1356,13.1,8.2615,0.418
1357,18.2,8.2562,0.418
1358,13.0,8.2438,0.418
1359,18.3,8.2643,0.418
1360,13.2,8.2541,0.418
1361,14.3,8.2713,0.418
1362,17.3,8.2563,0.418
1363,13.1,8.2567,0.418
1364,18.5,8.258,0.418
1365,13.1,8.2654,0.418
1366,17.6,8.2499,0.418
1367,13.7,8.2643,0.418
1368,13.2,8.2532,0.418
1369,18.4,8.2751,0.418
1370,13.1,8.2603,0.418
1371,18.1,8.2709,0.418
1372,13.1,8.268,0.418
1373,16.6,8.2898,0.418
1374,15.0,8.255,0.418
1375,13.1,8.2684,0.418
1376,18.2,8.253,0.418
1377,13.3,8.1192,0.418
1378,18.2,8.1196,0.418
1379,13.4,8.1196,0.418
1380,15.8,8.14,0.418
1381,15.8,8.1116,0.418
1382,13.2,8.0957,0.418
1383,18.4,8.126,0.418
1384,13.1,8.1389,0.418
1385,18.4,8.1467,0.418
1386,13.2,8.1364,0.418
1387,14.7,8.14,0.418
1388,16.8,8.1414,0.418
1389,13.2,8.1303,0.418
